h0,h1,h2,h3,h4,h5,h6,shape
3.122042505,6.745330533,14.71658031,15.5458938,31.43706127,19.76255749,30.68379182,OVAL
3.122042505,6.745330533,14.71658031,15.5458938,31.43706127,19.76255749,30.68379182,OVAL
3.122042505,6.745330533,14.71658031,15.5458938,31.43706127,19.76255749,30.68379182,OVAL
3.122042505,6.745330533,14.71658031,15.5458938,31.43706127,19.76255749,30.68379182,OVAL
3.122042505,6.745330533,14.71658031,15.5458938,31.43706127,19.76255749,30.68379182,OVAL
3.122042505,6.745330533,14.71658031,15.5458938,31.43706127,19.76255749,30.68379182,OVAL
3.122042505,6.745330533,14.71658031,15.5458938,31.43706127,19.76255749,30.68379182,OVAL
3.104701963,6.65322697,13.83759043,14.94116079,-29.40153663,-18.3186033,-29.60781735,OVAL
3.104701963,6.65322697,13.83759043,14.94116079,-29.40153663,-18.3186033,-29.60781735,OVAL
3.104701963,6.65322697,13.83759043,14.94116079,-29.40153663,-18.3186033,-29.60781735,OVAL
3.104701963,6.65322697,13.83759043,14.94116079,-29.40153663,-18.3186033,-29.60781735,OVAL
3.104701963,6.65322697,13.83759043,14.94116079,-29.40153663,-18.3186033,-29.60781735,OVAL
3.104701963,6.65322697,13.83759043,14.94116079,-29.40153663,-18.3186033,-29.60781735,OVAL
3.104701963,6.65322697,13.83759043,14.94116079,-29.40153663,-18.3186033,-29.60781735,OVAL
3.100416434,6.630618613,15.05329944,15.9165769,31.86014392,19.60979466,-31.42951768,OVAL
3.100416434,6.630618613,15.05329944,15.9165769,31.86014392,19.60979466,-31.42951768,OVAL
3.100416434,6.630618613,15.05329944,15.9165769,31.86014392,19.60979466,-31.42951768,OVAL
3.100416434,6.630618613,15.05329944,15.9165769,31.86014392,19.60979466,-31.42951768,OVAL
3.100416434,6.630618613,15.05329944,15.9165769,31.86014392,19.60979466,-31.42951768,OVAL
3.100416434,6.630618613,15.05329944,15.9165769,31.86014392,19.60979466,-31.42951768,OVAL
3.100416434,6.630618613,15.05329944,15.9165769,31.86014392,19.60979466,-31.42951768,OVAL
3.168981961,7.323271846,11.40942425,13.80850485,26.45527271,-17.47912796,26.81570911,OVAL
3.168981961,7.323271846,11.40942425,13.80850485,26.45527271,-17.47912796,26.81570911,OVAL
3.168981961,7.323271846,11.40942425,13.80850485,26.45527271,-17.47912796,26.81570911,OVAL
3.168981961,7.323271846,11.40942425,13.80850485,26.45527271,-17.47912796,26.81570911,OVAL
